re_idx,idx,sentence,category,polarity,target,from,to
69,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#QUALITY,positive,Prix Fixe menu,4,18
69,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#STYLE_OPTIONS,positive,Prix Fixe menu,4,18
69,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#PRICES,positive,Prix Fixe menu,4,18
70,1084394:4,I will be going back and heartily recommend it!,RESTAURANT#GENERAL,positive,NULL,0,0
72,1086415:1,"It is terrific, as is the value.",FOOD#QUALITY,positive,NULL,0,0
72,1086415:1,"It is terrific, as is the value.",FOOD#PRICES,positive,NULL,0,0
73,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#STYLE_OPTIONS,positive,food,27,31
73,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#QUALITY,positive,food,27,31
73,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",FOOD#PRICES,positive,food,27,31
74,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",FOOD#QUALITY,positive,dishes,42,48
76,1086415:5,Go hungry and enjoy.,RESTAURANT#GENERAL,positive,NULL,0,0
77,1086478:0,"The food here is rather good, but only if you like to wait for it.",FOOD#QUALITY,positive,food,4,8
77,1086478:0,"The food here is rather good, but only if you like to wait for it.",SERVICE#GENERAL,negative,NULL,0,0
78,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,positive,somosas,11,18
78,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,positive,chai,20,24
78,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,positive,chole,34,39
78,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,negative,dhosas,49,55
78,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY,negative,dhal,60,64
79,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE#GENERAL,negative,service,4,11
80,1086478:3,"The kitchen however, is almost always slow.",SERVICE#GENERAL,negative,kitchen,4,11
81,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",FOOD#QUALITY,negative,food,31,35
82,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",AMBIENCE#GENERAL,positive,ambience,4,12
82,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",RESTAURANT#MISCELLANEOUS,positive,NULL,0,0
84,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,LOCATION#GENERAL,positive,view,80,84
85,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,SERVICE#GENERAL,positive,service,18,25
85,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#QUALITY,positive,food,36,40
85,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#PRICES,positive,food,36,40
86,1090587:3,The lava cake dessert was incredible and I recommend it.,FOOD#QUALITY,positive,lava cake dessert,4,21
87,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",AMBIENCE#GENERAL,positive,Cosette,19,26
88,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",AMBIENCE#GENERAL,positive,restaurant,10,20
89,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,positive,food,4,8
89,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,negative,French Onion soup,43,60
89,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#STYLE_OPTIONS,positive,French Onion soup,43,60
89,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY,negative,desserts,104,112
90,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",AMBIENCE#GENERAL,positive,ambience,20,28
90,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",FOOD#QUALITY,neutral,food,47,51
92,1118167:1,IT WAS HORRIBLE.,RESTAURANT#GENERAL,negative,NULL,0,0
93,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY,negative,pizza,4,9
93,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY,negative,cheese,37,43
94,1118167:3,It looked like shredded cheese partly done - still in strips.,FOOD#STYLE_OPTIONS,negative,NULL,0,0
96,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,RESTAURANT#GENERAL,negative,NULL,0,0
97,1119578:1,The pizza is overpriced and soggy.,FOOD#QUALITY,negative,pizza,4,9
97,1119578:1,The pizza is overpriced and soggy.,FOOD#PRICES,negative,pizza,4,9
98,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,positive,ingredients,20,31
98,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,negative,pizza,80,85
98,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,negative,crust,122,127
99,1119578:3,"A big disappointment, all around.",RESTAURANT#GENERAL,negative,NULL,0,0
100,1123262:0,I think I've had some the best meals of my life at minnow.,FOOD#QUALITY,positive,meals,31,36
101,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#QUALITY,positive,seafood,4,11
101,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",DRINKS#STYLE_OPTIONS,positive,wine list,39,48
101,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#STYLE_OPTIONS,positive,menu,72,76
102,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,FOOD#QUALITY,positive,ingredients,31,42
103,1123262:3,Worth the trip from Manhattan.,RESTAURANT#GENERAL,positive,NULL,0,0
105,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,FOOD#QUALITY,positive,Pastrami,5,13
105,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,FOOD#STYLE_OPTIONS,positive,portion,35,42
107,1125006:3,My wife had the fried shrimp which are huge and loved it.,FOOD#STYLE_OPTIONS,positive,fried shrimp,16,28
107,1125006:3,My wife had the fried shrimp which are huge and loved it.,FOOD#QUALITY,positive,fried shrimp,16,28
109,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",RESTAURANT#GENERAL,positive,place,105,110
110,1125284:1,This place is the most Japanese it can ever get.,RESTAURANT#MISCELLANEOUS,positive,place,5,10
111,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",RESTAURANT#MISCELLANEOUS,positive,signs,4,9
111,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",FOOD#STYLE_OPTIONS,positive,specials menus,15,29
111,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",FOOD#QUALITY,positive,food,31,35
111,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",SERVICE#GENERAL,positive,waitstaff,54,63
112,1125284:3,This place is worth an one-hour drive.,RESTAURANT#GENERAL,positive,place,5,10
113,1125284:4,"I am so coming back here again, as much as I can.",RESTAURANT#GENERAL,positive,NULL,0,0
114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",RESTAURANT#GENERAL,positive,Leon,0,4
114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",AMBIENCE#GENERAL,positive,Leon,0,4
114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD#QUALITY,positive,specials,95,103
114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",AMBIENCE#GENERAL,positive,atmosphere,123,133
114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD#QUALITY,positive,French bistro fare,70,88
115,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE#GENERAL,positive,staff,89,94
117,1126814:3,Decent wine at reasonable prices.,DRINKS#QUALITY,neutral,wine,7,11
117,1126814:3,Decent wine at reasonable prices.,DRINKS#PRICES,positive,wine,7,11
118,1126814:4,Have been dozens of times and never failed to enjoy the experience.,RESTAURANT#GENERAL,positive,NULL,0,0
119,1126814:5,"Our teenage kids love it, too.",RESTAURANT#GENERAL,positive,NULL,0,0
120,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",RESTAURANT#GENERAL,positive,Zucchero Pomodori,89,106
121,1126886:1,This is by far my favorite place in the neighborhood.,RESTAURANT#GENERAL,positive,place,27,32
122,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",SERVICE#GENERAL,positive,service,4,11
122,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",AMBIENCE#GENERAL,positive,decor,30,35
122,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",FOOD#QUALITY,positive,food,54,58
122,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",FOOD#STYLE_OPTIONS,positive,portions,91,99
124,1126886:4,I'm partial to the Gnocchi.,RESTAURANT#GENERAL,positive,Gnocchi,19,26
125,1131595:0,This place is incredibly tiny.,RESTAURANT#MISCELLANEOUS,negative,place,5,10
126,1131595:1,They refuse to seat parties of 3 or more on weekends.,SERVICE#GENERAL,negative,NULL,0,0
127,1131595:2,The hostess is rude to the point of being offensive.,SERVICE#GENERAL,negative,hostess,4,11
128,1131595:3,The food was bland oily.,FOOD#QUALITY,negative,food,4,8
129,1131595:4,I just don't understand all the hype...,RESTAURANT#GENERAL,negative,NULL,0,0
131,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",FOOD#QUALITY,positive,food,61,65
131,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",DRINKS#QUALITY,positive,wine,67,71
131,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",SERVICE#GENERAL,positive,service,77,84
132,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE#GENERAL,positive,wait,86,90
133,1138996:3,As always we had a great glass of wine while we waited.,DRINKS#QUALITY,positive,glass of wine,25,38
134,1138996:4,"When we sat, we got great and fast service.",SERVICE#GENERAL,positive,service,35,42
135,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,SERVICE#GENERAL,positive,people,4,10
136,1138996:6,Make sure you try this place as often as you can.,RESTAURANT#GENERAL,positive,place,23,28
137,1145510:0,This is a fun restaurant to go to.,RESTAURANT#GENERAL,positive,restaurant,14,24
138,1145510:1,The pizza is yummy and I like the atmoshpere.,FOOD#QUALITY,positive,pizza,4,9
138,1145510:1,The pizza is yummy and I like the atmoshpere.,AMBIENCE#GENERAL,positive,atmoshpere,34,44
139,1145510:2,But the pizza is way to expensive.,FOOD#PRICES,negative,pizza,8,13
140,1145510:3,"A large is $20, and toppings are about $3 each.",FOOD#PRICES,negative,NULL,0,0
140,1145510:3,"A large is $20, and toppings are about $3 each.",FOOD#PRICES,negative,toppings,20,28
141,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,FOOD#QUALITY,negative,lunch,17,22
142,1147082:1,Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY,negative,Sauce,0,5
142,1147082:1,Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY,negative,food,25,29
144,1147082:3,I don't think I would go again.,RESTAURANT#GENERAL,negative,NULL,0,0
145,1147211:0,This place is great.,RESTAURANT#GENERAL,positive,place,5,10
146,1147211:1,I had a huge group for my birthday and we were well taken care of.,SERVICE#GENERAL,positive,NULL,0,0
147,1147211:2,The waitress was very patient with us and the food is phenomenal!,SERVICE#GENERAL,positive,waitress,4,12
147,1147211:2,The waitress was very patient with us and the food is phenomenal!,FOOD#QUALITY,positive,food,46,50
148,1147211:3,"Service was prompt, friendly and great.",SERVICE#GENERAL,positive,Service,0,7
149,1147211:4,Slightly on the pricey side but worth it!,RESTAURANT#PRICES,negative,NULL,0,0
149,1147211:4,Slightly on the pricey side but worth it!,RESTAURANT#GENERAL,positive,NULL,0,0
150,1153034:0,Great pizza and fantastic service.,FOOD#QUALITY,positive,pizza,6,11
150,1153034:0,Great pizza and fantastic service.,SERVICE#GENERAL,positive,service,26,33
151,1153034:1,"There was a small wait, but shorter than I expected.",SERVICE#GENERAL,positive,wait,18,22
152,1153034:2,Located at the end of a magnificent block.,LOCATION#GENERAL,positive,block,36,41
153,1153034:3,Very cozy and warm inside.....,AMBIENCE#GENERAL,positive,NULL,0,0
154,1153034:4,I will be back!,RESTAURANT#GENERAL,positive,NULL,0,0
155,1154550:0,This is the best sushi in new york city - hands down.,FOOD#QUALITY,positive,sushi,17,22
156,1154550:1,The place is small and cramped but the food is fantastic.,AMBIENCE#GENERAL,negative,place,4,9
156,1154550:1,The place is small and cramped but the food is fantastic.,FOOD#QUALITY,positive,food,39,43
157,1154550:2,Get the tuna of gari.,FOOD#QUALITY,positive,tuna of gari,8,20
159,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY,positive,sushi,75,80
159,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY,positive,thai food,103,112
159,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",RESTAURANT#GENERAL,positive,Planet Thailand,0,15
160,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",FOOD#STYLE_OPTIONS,positive,menu,30,34
161,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",AMBIENCE#GENERAL,neutral,atmosphere,4,14
161,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",RESTAURANT#PRICES,positive,NULL,0,0
162,1162037:3,It's all about the food !!,FOOD#QUALITY,positive,food,19,23
164,1167434:1,first it took us a long time to find the place.,RESTAURANT#MISCELLANEOUS,negative,place,41,46
166,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",FOOD#STYLE_OPTIONS,negative,menu,26,30
168,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#STYLE_OPTIONS,neutral,rolls,6,11
168,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#QUALITY,negative,rolls,6,11
168,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#QUALITY,negative,sashimi,39,46
169,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",FOOD#QUALITY,negative,NULL,0,0
170,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,SERVICE#GENERAL,positive,NULL,0,0
171,1175958:1,"Try the crunchy tuna, it is to die for.",FOOD#QUALITY,positive,crunchy tuna,8,20
172,1175958:2,"Try everything for that matter, it is all good.",FOOD#QUALITY,positive,NULL,0,0
173,1175958:3,I have been going there since it opened and I can't get enough.,RESTAURANT#GENERAL,positive,NULL,0,0
174,1189674:0,First went here to enjoy their garden terrace.,AMBIENCE#GENERAL,positive,garden terrace,31,45
175,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",FOOD#QUALITY,positive,food,4,8
175,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",SERVICE#GENERAL,positive,service,30,37
176,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",FOOD#STYLE_OPTIONS,positive,Steak Tartare,4,17
177,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL,positive,open kitchen,71,83
177,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL,negative,restaurant,34,44
178,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#STYLE_OPTIONS,positive,wine selection,6,20
178,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#QUALITY,positive,Gigondas,22,30
178,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#PRICES,positive,house champagne,59,74
179,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,neutral,NULL,0,0
179,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,positive,vibe,44,48
179,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",FOOD#QUALITY,positive,French food,76,87
180,1189674:6,"Have recommended the place to friends, always gets good response.",RESTAURANT#MISCELLANEOUS,positive,place,21,26
181,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY,positive,crust,77,82
181,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY,positive,pizza,17,22
184,1199292:3,I take all my NYC guests to VT's.,RESTAURANT#MISCELLANEOUS,positive,VT's,28,32
185,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",LOCATION#GENERAL,positive,neighborhood,74,86
185,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",FOOD#QUALITY,positive,food,101,105
186,1199480:1,I've been there three times and have always had wonderful experiences.,RESTAURANT#GENERAL,positive,NULL,0,0
