re_idx,idx,review,category,polarity
3,54,I bought this laptop Was the worst Laptop I've ever bought. I spent alot of money on this product and its been a nightmare. And having to deal with the company has been a even worse nightmare. I sent it to them to fix in perfect condition but for what was wrong with it. They sent it back with a huge crack in it and it still didn't work. And that was the fourth time ive sent it to them to get fixed. Its been a year and am still waiting to see what there going to do about my laptop. So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,LAPTOP#PRICE,negative
3,54,I bought this laptop Was the worst Laptop I've ever bought. I spent alot of money on this product and its been a nightmare. And having to deal with the company has been a even worse nightmare. I sent it to them to fix in perfect condition but for what was wrong with it. They sent it back with a huge crack in it and it still didn't work. And that was the fourth time ive sent it to them to get fixed. Its been a year and am still waiting to see what there going to do about my laptop. So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,SUPPORT#QUALITY,negative
3,54,I bought this laptop Was the worst Laptop I've ever bought. I spent alot of money on this product and its been a nightmare. And having to deal with the company has been a even worse nightmare. I sent it to them to fix in perfect condition but for what was wrong with it. They sent it back with a huge crack in it and it still didn't work. And that was the fourth time ive sent it to them to get fixed. Its been a year and am still waiting to see what there going to do about my laptop. So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,COMPANY#GENERAL,negative
4,252,"So far, a great product. High price tag, however. Still trying to learn how to use it.",LAPTOP#GENERAL,positive
4,252,"So far, a great product. High price tag, however. Still trying to learn how to use it.",LAPTOP#PRICE,negative
4,252,"So far, a great product. High price tag, however. Still trying to learn how to use it.",LAPTOP#USABILITY,neutral
5,375,"This laptop is a great price and has a sleek look. Runs smooth and quick. I wish it had a webcam though, then it would be perfect!",LAPTOP#PRICE,positive
5,375,"This laptop is a great price and has a sleek look. Runs smooth and quick. I wish it had a webcam though, then it would be perfect!",LAPTOP#DESIGN_FEATURES,conflict
5,375,"This laptop is a great price and has a sleek look. Runs smooth and quick. I wish it had a webcam though, then it would be perfect!",LAPTOP#OPERATION_PERFORMANCE,positive
5,375,"This laptop is a great price and has a sleek look. Runs smooth and quick. I wish it had a webcam though, then it would be perfect!",LAPTOP#GENERAL,positive
6,139,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked. But as time went on I found it almost impossible to keep the thing on-line through wi-fi. Eventually the screen went blank and the computer would not turn on. HP said it was out of warranty. Guess I'll stay away from HP.",LAPTOP#GENERAL,negative
6,139,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked. But as time went on I found it almost impossible to keep the thing on-line through wi-fi. Eventually the screen went blank and the computer would not turn on. HP said it was out of warranty. Guess I'll stay away from HP.",LAPTOP#CONNECTIVITY,negative
6,139,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked. But as time went on I found it almost impossible to keep the thing on-line through wi-fi. Eventually the screen went blank and the computer would not turn on. HP said it was out of warranty. Guess I'll stay away from HP.",DISPLAY#OPERATION_PERFORMANCE,negative
6,139,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked. But as time went on I found it almost impossible to keep the thing on-line through wi-fi. Eventually the screen went blank and the computer would not turn on. HP said it was out of warranty. Guess I'll stay away from HP.",LAPTOP#OPERATION_PERFORMANCE,negative
6,139,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked. But as time went on I found it almost impossible to keep the thing on-line through wi-fi. Eventually the screen went blank and the computer would not turn on. HP said it was out of warranty. Guess I'll stay away from HP.",COMPANY#GENERAL,negative
7,B00KMRGF28_285_AULBCYLXY34W9,"Great price and computer! I bought this laptop computer for my parents, they only access their facebook and e-mail accounts, see family pictures, etc. They loved it. It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling). But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!",LAPTOP#PRICE,positive
7,B00KMRGF28_285_AULBCYLXY34W9,"Great price and computer! I bought this laptop computer for my parents, they only access their facebook and e-mail accounts, see family pictures, etc. They loved it. It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling). But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!",LAPTOP#GENERAL,positive
7,B00KMRGF28_285_AULBCYLXY34W9,"Great price and computer! I bought this laptop computer for my parents, they only access their facebook and e-mail accounts, see family pictures, etc. They loved it. It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling). But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!",LAPTOP#USABILITY,positive
7,B00KMRGF28_285_AULBCYLXY34W9,"Great price and computer! I bought this laptop computer for my parents, they only access their facebook and e-mail accounts, see family pictures, etc. They loved it. It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling). But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!",LAPTOP#DESIGN_FEATURES,conflict
7,B00KMRGF28_285_AULBCYLXY34W9,"Great price and computer! I bought this laptop computer for my parents, they only access their facebook and e-mail accounts, see family pictures, etc. They loved it. It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling). But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!",LAPTOP#PORTABILITY,positive
8,76,"I have loved this since i took it out of the box. The battery is really long. the features are great, the only thing it needs is better speakers.",LAPTOP#GENERAL,positive
8,76,"I have loved this since i took it out of the box. The battery is really long. the features are great, the only thing it needs is better speakers.",BATTERY#OPERATION_PERFORMANCE,positive
8,76,"I have loved this since i took it out of the box. The battery is really long. the features are great, the only thing it needs is better speakers.",LAPTOP#DESIGN_FEATURES,positive
8,76,"I have loved this since i took it out of the box. The battery is really long. the features are great, the only thing it needs is better speakers.",MULTIMEDIA_DEVICES#GENERAL,negative
9,77,"Waited on getting this computer, but it has been a great change. Ease of use is just one of the benefits I love about my Mac.",LAPTOP#GENERAL,positive
9,77,"Waited on getting this computer, but it has been a great change. Ease of use is just one of the benefits I love about my Mac.",LAPTOP#USABILITY,positive
10,243,It had most of the features and all of the power that I wanted to replace my desktop machine. I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise. I'm very happy with this machine!,LAPTOP#DESIGN_FEATURES,positive
10,243,It had most of the features and all of the power that I wanted to replace my desktop machine. I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise. I'm very happy with this machine!,LAPTOP#OPERATION_PERFORMANCE,positive
10,243,It had most of the features and all of the power that I wanted to replace my desktop machine. I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise. I'm very happy with this machine!,LAPTOP#PORTABILITY,positive
10,243,It had most of the features and all of the power that I wanted to replace my desktop machine. I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise. I'm very happy with this machine!,LAPTOP#GENERAL,positive
11,292,"This MacBook is an outstanding product with great value. Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat. Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed. It does run a little warm but that is a negligible concern.",LAPTOP#GENERAL,positive
11,292,"This MacBook is an outstanding product with great value. Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat. Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed. It does run a little warm but that is a negligible concern.",LAPTOP#USABILITY,positive
11,292,"This MacBook is an outstanding product with great value. Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat. Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed. It does run a little warm but that is a negligible concern.",SUPPORT#QUALITY,positive
11,292,"This MacBook is an outstanding product with great value. Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat. Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed. It does run a little warm but that is a negligible concern.",BATTERY#OPERATION_PERFORMANCE,positive
11,292,"This MacBook is an outstanding product with great value. Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat. Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed. It does run a little warm but that is a negligible concern.",LAPTOP#OPERATION_PERFORMANCE,positive
11,292,"This MacBook is an outstanding product with great value. Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat. Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed. It does run a little warm but that is a negligible concern.",LAPTOP#QUALITY,neutral
12,159,"The image is great, and the soud is excelent. i love ths notebook.",DISPLAY#QUALITY,positive
12,159,"The image is great, and the soud is excelent. i love ths notebook.",MULTIMEDIA_DEVICES#QUALITY,positive
12,159,"The image is great, and the soud is excelent. i love ths notebook.",LAPTOP#GENERAL,positive
13,28,Small and light weight. Speakers too small to be of any real use. Keyboard good sized and wasy to use. I like it!,LAPTOP#DESIGN_FEATURES,positive
13,28,Small and light weight. Speakers too small to be of any real use. Keyboard good sized and wasy to use. I like it!,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
13,28,Small and light weight. Speakers too small to be of any real use. Keyboard good sized and wasy to use. I like it!,MULTIMEDIA_DEVICES#USABILITY,negative
13,28,Small and light weight. Speakers too small to be of any real use. Keyboard good sized and wasy to use. I like it!,KEYBOARD#DESIGN_FEATURES,positive
13,28,Small and light weight. Speakers too small to be of any real use. Keyboard good sized and wasy to use. I like it!,KEYBOARD#USABILITY,positive
13,28,Small and light weight. Speakers too small to be of any real use. Keyboard good sized and wasy to use. I like it!,LAPTOP#GENERAL,positive
14,167,"This is a great machine! The design is awesome, quality is unprecedented.",LAPTOP#GENERAL,positive
14,167,"This is a great machine! The design is awesome, quality is unprecedented.",LAPTOP#DESIGN_FEATURES,positive
14,167,"This is a great machine! The design is awesome, quality is unprecedented.",LAPTOP#QUALITY,positive
15,111,This just keeps having it's hard drive replaced! Acer won't replace the laptop. the manufacturer's warranty only covers replacement/repair of parts. This thing is a lemon.,HARD_DISC#QUALITY,negative
15,111,This just keeps having it's hard drive replaced! Acer won't replace the laptop. the manufacturer's warranty only covers replacement/repair of parts. This thing is a lemon.,SUPPORT#QUALITY,negative
15,111,This just keeps having it's hard drive replaced! Acer won't replace the laptop. the manufacturer's warranty only covers replacement/repair of parts. This thing is a lemon.,WARRANTY#GENERAL,negative
15,111,This just keeps having it's hard drive replaced! Acer won't replace the laptop. the manufacturer's warranty only covers replacement/repair of parts. This thing is a lemon.,LAPTOP#QUALITY,negative
15,111,This just keeps having it's hard drive replaced! Acer won't replace the laptop. the manufacturer's warranty only covers replacement/repair of parts. This thing is a lemon.,LAPTOP#GENERAL,negative
16,57,I love the glass touchpad. Easy learning curve. Also the display is exceptional!,MOUSE#DESIGN_FEATURES,positive
16,57,I love the glass touchpad. Easy learning curve. Also the display is exceptional!,LAPTOP#USABILITY,positive
16,57,I love the glass touchpad. Easy learning curve. Also the display is exceptional!,DISPLAY#GENERAL,positive
16,57,I love the glass touchpad. Easy learning curve. Also the display is exceptional!,LAPTOP#GENERAL,positive
17,299,Very good quality and well made. Great pick for portability and affordability. The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#QUALITY,positive
17,299,Very good quality and well made. Great pick for portability and affordability. The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#PORTABILITY,positive
17,299,Very good quality and well made. Great pick for portability and affordability. The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#PRICE,positive
17,299,Very good quality and well made. Great pick for portability and affordability. The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#DESIGN_FEATURES,positive
17,299,Very good quality and well made. Great pick for portability and affordability. The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#GENERAL,positive
18,242,This computer is the ideal college companion. It's software and speed enable it to do amazing things.,LAPTOP#MISCELLANEOUS,positive
18,242,This computer is the ideal college companion. It's software and speed enable it to do amazing things.,LAPTOP#OPERATION_PERFORMANCE,positive
18,242,This computer is the ideal college companion. It's software and speed enable it to do amazing things.,SOFTWARE#GENERAL,positive
18,242,This computer is the ideal college companion. It's software and speed enable it to do amazing things.,LAPTOP#GENERAL,positive
19,B00KMRGF28_316_A3L8EIJHMTXINF,"It was too cheaply constructed. It also gave me an introduction to Windows 8, which I hope will be discontinued it the future.",LAPTOP#QUALITY,negative
19,B00KMRGF28_316_A3L8EIJHMTXINF,"It was too cheaply constructed. It also gave me an introduction to Windows 8, which I hope will be discontinued it the future.",OS#GENERAL,negative
19,B00KMRGF28_316_A3L8EIJHMTXINF,"It was too cheaply constructed. It also gave me an introduction to Windows 8, which I hope will be discontinued it the future.",LAPTOP#GENERAL,negative
20,325,"If you need an affordable, entry-level laptop, this will fit the bill. I dislike the weight and size, cubersome. I dislike the quality and the placement of the speakers. Overall, it's ok.",LAPTOP#PRICE,positive
20,325,"If you need an affordable, entry-level laptop, this will fit the bill. I dislike the weight and size, cubersome. I dislike the quality and the placement of the speakers. Overall, it's ok.",LAPTOP#MISCELLANEOUS,positive
20,325,"If you need an affordable, entry-level laptop, this will fit the bill. I dislike the weight and size, cubersome. I dislike the quality and the placement of the speakers. Overall, it's ok.",LAPTOP#PORTABILITY,negative
20,325,"If you need an affordable, entry-level laptop, this will fit the bill. I dislike the weight and size, cubersome. I dislike the quality and the placement of the speakers. Overall, it's ok.",LAPTOP#DESIGN_FEATURES,negative
20,325,"If you need an affordable, entry-level laptop, this will fit the bill. I dislike the weight and size, cubersome. I dislike the quality and the placement of the speakers. Overall, it's ok.",MULTIMEDIA_DEVICES#QUALITY,negative
20,325,"If you need an affordable, entry-level laptop, this will fit the bill. I dislike the weight and size, cubersome. I dislike the quality and the placement of the speakers. Overall, it's ok.",MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
20,325,"If you need an affordable, entry-level laptop, this will fit the bill. I dislike the weight and size, cubersome. I dislike the quality and the placement of the speakers. Overall, it's ok.",LAPTOP#GENERAL,neutral
21,276,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school. so we got a good deal on hsn for an ascer notebook and we bought it for him. He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started. now he mows yards so he can earn the money for the wireless internet. I would recomend this acer to parents and grandparents it can really help them in school.",LAPTOP#GENERAL,positive
21,276,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school. so we got a good deal on hsn for an ascer notebook and we bought it for him. He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started. now he mows yards so he can earn the money for the wireless internet. I would recomend this acer to parents and grandparents it can really help them in school.",LAPTOP#USABILITY,positive
21,276,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school. so we got a good deal on hsn for an ascer notebook and we bought it for him. He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started. now he mows yards so he can earn the money for the wireless internet. I would recomend this acer to parents and grandparents it can really help them in school.",LAPTOP#MISCELLANEOUS,positive
22,10,the laptop was really good and it goes really fast just the way i thought it would of run. i would really recommend to any person out there to get this laptop cause its really worth it. and its really cheap and you wont regret buying it.,LAPTOP#GENERAL,positive
22,10,the laptop was really good and it goes really fast just the way i thought it would of run. i would really recommend to any person out there to get this laptop cause its really worth it. and its really cheap and you wont regret buying it.,LAPTOP#OPERATION_PERFORMANCE,positive
22,10,the laptop was really good and it goes really fast just the way i thought it would of run. i would really recommend to any person out there to get this laptop cause its really worth it. and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive
23,178,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me. He gave me this PC about 3 years ago and up to this point im still sitting here using it. Its still going. It is in the best condition and has a really high quality. This is something i would deffinately reccomend to someone. You will not regret buying such a great thing like this! It can't get any better.",LAPTOP#GENERAL,positive
23,178,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me. He gave me this PC about 3 years ago and up to this point im still sitting here using it. Its still going. It is in the best condition and has a really high quality. This is something i would deffinately reccomend to someone. You will not regret buying such a great thing like this! It can't get any better.",LAPTOP#QUALITY,positive
24,19,it is the worst computer dell ever made. it is hard to fix and makes it a hassle to own one. breaks easily. only good thing is the graphics quality.,LAPTOP#GENERAL,negative
24,19,it is the worst computer dell ever made. it is hard to fix and makes it a hassle to own one. breaks easily. only good thing is the graphics quality.,LAPTOP#QUALITY,negative
24,19,it is the worst computer dell ever made. it is hard to fix and makes it a hassle to own one. breaks easily. only good thing is the graphics quality.,GRAPHICS#QUALITY,positive
25,95,"It rarely works and when it does it's incredibly slow. I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months! *IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#QUALITY,negative
25,95,"It rarely works and when it does it's incredibly slow. I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months! *IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#OPERATION_PERFORMANCE,negative
25,95,"It rarely works and when it does it's incredibly slow. I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months! *IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#GENERAL,negative
26,135,The So called laptop Runs to Slow and I hate it! Do not  buy it! It is the worst laptop ever,LAPTOP#OPERATION_PERFORMANCE,negative
26,135,The So called laptop Runs to Slow and I hate it! Do not  buy it! It is the worst laptop ever,LAPTOP#GENERAL,negative
27,364,"The Toshiba laptop was a great purchase. The price was very good, and the product is top quality. The delivery was fast, and I would not hesitate to purchase this laptop again.",LAPTOP#GENERAL,positive
27,364,"The Toshiba laptop was a great purchase. The price was very good, and the product is top quality. The delivery was fast, and I would not hesitate to purchase this laptop again.",LAPTOP#PRICE,positive
27,364,"The Toshiba laptop was a great purchase. The price was very good, and the product is top quality. The delivery was fast, and I would not hesitate to purchase this laptop again.",LAPTOP#QUALITY,positive
27,364,"The Toshiba laptop was a great purchase. The price was very good, and the product is top quality. The delivery was fast, and I would not hesitate to purchase this laptop again.",SHIPPING#QUALITY,positive
28,B00AH4A950_14_A3ODX2HCMPBUCA,Screen broke 1 month outside warranty. Overall build quality is cheap. Avoid Acer.,DISPLAY#QUALITY,negative
28,B00AH4A950_14_A3ODX2HCMPBUCA,Screen broke 1 month outside warranty. Overall build quality is cheap. Avoid Acer.,LAPTOP#QUALITY,negative
28,B00AH4A950_14_A3ODX2HCMPBUCA,Screen broke 1 month outside warranty. Overall build quality is cheap. Avoid Acer.,LAPTOP#GENERAL,negative
28,B00AH4A950_14_A3ODX2HCMPBUCA,Screen broke 1 month outside warranty. Overall build quality is cheap. Avoid Acer.,COMPANY#GENERAL,negative
29,B0096VDM8G_72_AOGYUDXOO03Q4,Supper east to use. Retina display is beautiful. Also very quick laptop! Con: Hate that it has no disk drive.,LAPTOP#USABILITY,positive
29,B0096VDM8G_72_AOGYUDXOO03Q4,Supper east to use. Retina display is beautiful. Also very quick laptop! Con: Hate that it has no disk drive.,DISPLAY#GENERAL,positive
29,B0096VDM8G_72_AOGYUDXOO03Q4,Supper east to use. Retina display is beautiful. Also very quick laptop! Con: Hate that it has no disk drive.,LAPTOP#OPERATION_PERFORMANCE,positive
29,B0096VDM8G_72_AOGYUDXOO03Q4,Supper east to use. Retina display is beautiful. Also very quick laptop! Con: Hate that it has no disk drive.,LAPTOP#DESIGN_FEATURES,negative
29,B0096VDM8G_72_AOGYUDXOO03Q4,Supper east to use. Retina display is beautiful. Also very quick laptop! Con: Hate that it has no disk drive.,LAPTOP#GENERAL,positive
30,B00KMRGF28_216_A2VZ7R8QTA0QXE,Extremely slow. A masterpiece of crap.,LAPTOP#OPERATION_PERFORMANCE,negative
30,B00KMRGF28_216_A2VZ7R8QTA0QXE,Extremely slow. A masterpiece of crap.,LAPTOP#QUALITY,negative
30,B00KMRGF28_216_A2VZ7R8QTA0QXE,Extremely slow. A masterpiece of crap.,LAPTOP#GENERAL,negative
31,385,"I purchased two laptops (for my husband and 16 year old daughter). My husband uses it mostly for games, email and music. My daughter uses it for games, email, facebook, pictures and music. They were able to set-up with labtops themselves within a few minutes. It works fine with our wireless and they've had not problems. It's a great product for a great price!",LAPTOP#USABILITY,positive
31,385,"I purchased two laptops (for my husband and 16 year old daughter). My husband uses it mostly for games, email and music. My daughter uses it for games, email, facebook, pictures and music. They were able to set-up with labtops themselves within a few minutes. It works fine with our wireless and they've had not problems. It's a great product for a great price!",LAPTOP#CONNECTIVITY,positive
31,385,"I purchased two laptops (for my husband and 16 year old daughter). My husband uses it mostly for games, email and music. My daughter uses it for games, email, facebook, pictures and music. They were able to set-up with labtops themselves within a few minutes. It works fine with our wireless and they've had not problems. It's a great product for a great price!",LAPTOP#GENERAL,positive
31,385,"I purchased two laptops (for my husband and 16 year old daughter). My husband uses it mostly for games, email and music. My daughter uses it for games, email, facebook, pictures and music. They were able to set-up with labtops themselves within a few minutes. It works fine with our wireless and they've had not problems. It's a great product for a great price!",LAPTOP#PRICE,positive
32,381,"Both my husband and I have this model Toshiba. I love everything about it. The only downfall is the battery only last 1.5-2.0 hrs when not plugged in. I would like at least a 4 hr. battery life. Otherwise, all other features are a 1",LAPTOP#GENERAL,positive
32,381,"Both my husband and I have this model Toshiba. I love everything about it. The only downfall is the battery only last 1.5-2.0 hrs when not plugged in. I would like at least a 4 hr. battery life. Otherwise, all other features are a 1",BATTERY#OPERATION_PERFORMANCE,negative
32,381,"Both my husband and I have this model Toshiba. I love everything about it. The only downfall is the battery only last 1.5-2.0 hrs when not plugged in. I would like at least a 4 hr. battery life. Otherwise, all other features are a 1",LAPTOP#DESIGN_FEATURES,positive
33,382,The laptop was very easy to set up. I did not have to call the support line at all. Everything was so easy.,LAPTOP#GENERAL,positive
33,382,The laptop was very easy to set up. I did not have to call the support line at all. Everything was so easy.,LAPTOP#USABILITY,positive
34,55,"This is my 3rd Apple Laptop and first MacBook Pro. I love its solid build, light wt and excellent battery life (for now). Excellent LED monitor and well equipped. I love the Apple products.",LAPTOP#QUALITY,positive
34,55,"This is my 3rd Apple Laptop and first MacBook Pro. I love its solid build, light wt and excellent battery life (for now). Excellent LED monitor and well equipped. I love the Apple products.",LAPTOP#DESIGN_FEATURES,positive
34,55,"This is my 3rd Apple Laptop and first MacBook Pro. I love its solid build, light wt and excellent battery life (for now). Excellent LED monitor and well equipped. I love the Apple products.",BATTERY#OPERATION_PERFORMANCE,positive
34,55,"This is my 3rd Apple Laptop and first MacBook Pro. I love its solid build, light wt and excellent battery life (for now). Excellent LED monitor and well equipped. I love the Apple products.",DISPLAY#DESIGN_FEATURES,positive
34,55,"This is my 3rd Apple Laptop and first MacBook Pro. I love its solid build, light wt and excellent battery life (for now). Excellent LED monitor and well equipped. I love the Apple products.",COMPANY#GENERAL,positive
34,55,"This is my 3rd Apple Laptop and first MacBook Pro. I love its solid build, light wt and excellent battery life (for now). Excellent LED monitor and well equipped. I love the Apple products.",LAPTOP#GENERAL,positive
35,131,"Summary: Dont buy HP. If you buy, pray you dont have major prolems.",COMPANY#GENERAL,negative
35,131,"Summary: Dont buy HP. If you buy, pray you dont have major prolems.",LAPTOP#GENERAL,negative
36,47,Awesome laptop and the perfect size to carry around in college. I couldn't believe how long the battery lasted on a single charge. I loaded windows 7 via Bootcamp and it works flawlessly! Simply amazing computer!!,LAPTOP#GENERAL,positive
36,47,Awesome laptop and the perfect size to carry around in college. I couldn't believe how long the battery lasted on a single charge. I loaded windows 7 via Bootcamp and it works flawlessly! Simply amazing computer!!,LAPTOP#DESIGN_FEATURES,positive
36,47,Awesome laptop and the perfect size to carry around in college. I couldn't believe how long the battery lasted on a single charge. I loaded windows 7 via Bootcamp and it works flawlessly! Simply amazing computer!!,LAPTOP#PORTABILITY,positive
36,47,Awesome laptop and the perfect size to carry around in college. I couldn't believe how long the battery lasted on a single charge. I loaded windows 7 via Bootcamp and it works flawlessly! Simply amazing computer!!,BATTERY#OPERATION_PERFORMANCE,positive
36,47,Awesome laptop and the perfect size to carry around in college. I couldn't believe how long the battery lasted on a single charge. I loaded windows 7 via Bootcamp and it works flawlessly! Simply amazing computer!!,OS#OPERATION_PERFORMANCE,positive
