re_idx,idx,sentence,category,polarity
185,28:3,I like it!,LAPTOP#GENERAL,positive
186,267:0,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#GENERAL,positive
186,267:0,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#DESIGN_FEATURES,positive
186,267:0,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#PORTABILITY,positive
187,132:0,"Needless to say, not to happy with the product.",LAPTOP#GENERAL,negative
188,167:0,This is a great machine!,LAPTOP#GENERAL,positive
189,167:1,"The design is awesome, quality is unprecedented.",LAPTOP#DESIGN_FEATURES,positive
189,167:1,"The design is awesome, quality is unprecedented.",LAPTOP#QUALITY,positive
190,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#QUALITY,positive
190,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#DESIGN_FEATURES,positive
190,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#PRICE,positive
190,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#OPERATION_PERFORMANCE,positive
191,197:0,It is by far one of the greatest investments I have ever made.,LAPTOP#GENERAL,positive
193,284:1,"Am very glad I bought it, great netbook, low price.",LAPTOP#GENERAL,positive
193,284:1,"Am very glad I bought it, great netbook, low price.",LAPTOP#PRICE,positive
194,299:0,Very good quality and well made.,LAPTOP#QUALITY,positive
195,299:1,Great pick for portability and affordability.,LAPTOP#PORTABILITY,positive
195,299:1,Great pick for portability and affordability.,LAPTOP#PRICE,positive
196,299:2,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#DESIGN_FEATURES,positive
197,321:0,The only problem is a lack of screen resolutions!,DISPLAY#QUALITY,negative
197,321:0,The only problem is a lack of screen resolutions!,LAPTOP#GENERAL,positive
198,325:0,"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#PRICE,positive
198,325:0,"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#MISCELLANEOUS,positive
199,325:1,"I dislike the weight and size, cubersome.",LAPTOP#PORTABILITY,negative
199,325:1,"I dislike the weight and size, cubersome.",LAPTOP#DESIGN_FEATURES,negative
200,325:2,I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#QUALITY,negative
200,325:2,I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
201,325:3,"Overall, it's ok.",LAPTOP#GENERAL,neutral
202,326:0,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",LAPTOP#DESIGN_FEATURES,negative
203,326:1,This laptop is very large and barely fits in any carrying cases.,LAPTOP#DESIGN_FEATURES,negative
203,326:1,This laptop is very large and barely fits in any carrying cases.,LAPTOP#PORTABILITY,negative
204,326:2,Peformance is good for the price.,LAPTOP#OPERATION_PERFORMANCE,positive
204,326:2,Peformance is good for the price.,LAPTOP#PRICE,neutral
205,326:3,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",LAPTOP#PORTABILITY,negative
205,326:3,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",LAPTOP#GENERAL,positive
206,8:0,Had to have this computer repaired twice in the first 5 months after purchasing it.,LAPTOP#QUALITY,negative
207,8:1,Not good for a person who gets online daily.,LAPTOP#MISCELLANEOUS,negative
208,8:2,May be better for the occasional web surfer.,LAPTOP#MISCELLANEOUS,neutral
209,83:0,"I just got this laptop for college, and so far I am very happy with it.",LAPTOP#GENERAL,positive
211,83:2,It is so much easier to use,LAPTOP#USABILITY,positive
212,81:0,"Good keyboard, long battery life, largest hard drive and windows 7.",KEYBOARD#GENERAL,positive
212,81:0,"Good keyboard, long battery life, largest hard drive and windows 7.",BATTERY#OPERATION_PERFORMANCE,positive
212,81:0,"Good keyboard, long battery life, largest hard drive and windows 7.",HARD_DISC#DESIGN_FEATURES,positive
212,81:0,"Good keyboard, long battery life, largest hard drive and windows 7.",OS#GENERAL,positive
213,81:1,And Toshiba is a quality supplier.,COMPANY#GENERAL,positive
214,80:0,I love this little one.,LAPTOP#GENERAL,positive
215,80:1,The keyboard has a wonderful nature feel.,KEYBOARD#QUALITY,positive
218,44:0,great battery life.,BATTERY#OPERATION_PERFORMANCE,positive
219,44:1,Keyboard is reasonable size.,KEYBOARD#DESIGN_FEATURES,positive
220,44:2,Small screen somewhat limiting but great for travel.,DISPLAY#DESIGN_FEATURES,negative
220,44:2,Small screen somewhat limiting but great for travel.,LAPTOP#PORTABILITY,positive
221,44:3,Charger seems large for this class of computer.,POWER_SUPPLY#DESIGN_FEATURES,negative
222,200:0,"Great Laptop for the price, works well with action pack games.",LAPTOP#GENERAL,positive
222,200:0,"Great Laptop for the price, works well with action pack games.",LAPTOP#PRICE,neutral
222,200:0,"Great Laptop for the price, works well with action pack games.",LAPTOP#MISCELLANEOUS,positive
223,200:1,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",KEYBOARD#DESIGN_FEATURES,negative
223,200:1,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",KEYBOARD#USABILITY,negative
224,200:2,but other then that I would give this product a 4 in hafe stars.,LAPTOP#GENERAL,positive
225,206:0,Good for every day computing and web browsing.,LAPTOP#MISCELLANEOUS,positive
226,177:0,A great computer for light home use and business use.,LAPTOP#MISCELLANEOUS,positive
227,177:1,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,LAPTOP#MISCELLANEOUS,neutral
228,177:2,"Crisp screen, great battery life, and plenty of storage.",DISPLAY#QUALITY,positive
228,177:2,"Crisp screen, great battery life, and plenty of storage.",BATTERY#OPERATION_PERFORMANCE,positive
228,177:2,"Crisp screen, great battery life, and plenty of storage.",HARD_DISC#DESIGN_FEATURES,positive
229,177:3,Very happy.,LAPTOP#GENERAL,positive
